Date,PX_LAST,PX_VOLUME
6/13/2002,101.55,21052400
6/14/2002,101.4,39267500
6/17/2002,104.12,17649000
6/18/2002,104.97,21860800
6/19/2002,102.52,21550900
6/20/2002,101.21,25762400
6/21/2002,99.28,31191400
6/24/2002,99.8,37173800
6/25/2002,97.56,33419000
6/26/2002,97.72,37928400
6/27/2002,99.43,31729100
6/28/2002,98.96,28185600
7/1/2002,97.03,20282900
7/2/2002,94.97,34219100
7/3/2002,95.51,30571900
7/5/2002,99.31,19014900
7/8/2002,98.07,19123100
7/9/2002,95.6,28636000
7/10/2002,92.12,50533700
7/11/2002,92.87,59537700
7/12/2002,91.85,39026100
7/15/2002,92.34,77322900
7/16/2002,90.56,53293100
7/17/2002,90.74,49016200
7/18/2002,87.8,32721600
7/19/2002,84.71,77712000
7/22/2002,82.2,78252700
7/23/2002,79.95,74520500
7/24/2002,84.72,107023100
7/25/2002,84,87195600
7/26/2002,85.6,41211700
7/29/2002,89.77,53498500
7/30/2002,90.94,47570000
7/31/2002,91.16,44719500
8/1/2002,88.78,66576300
8/2/2002,86.79,51831200
8/5/2002,83.77,47199500
8/6/2002,86.59,65257800
8/7/2002,88.1,43720300
8/8/2002,90.95,48380400
8/9/2002,91.29,41880600
8/12/2002,90.62,25858300
8/13/2002,88.97,49637500
8/14/2002,92.22,57437000
8/15/2002,93.5,45653700
8/16/2002,93.22,36518800
8/19/2002,95.4,33676900
8/20/2002,94.39,30513600
8/21/2002,95.75,39635600
8/22/2002,96.68,38404300
8/23/2002,94.6,33717800
8/26/2002,95.26,33832800
8/27/2002,94.16,46036700
8/28/2002,92.1,38983800
8/29/2002,92.14,42968100
8/30/2002,91.78,30371500
9/3/2002,88.28,76692300
9/4/2002,89.54,51100600
9/5/2002,88.78,67335200
9/6/2002,90,38622900
9/9/2002,90.66,34078600
9/10/2002,91.7,41430300
9/11/2002,91.13,27746100
9/12/2002,89.45,43639100
9/13/2002,89.67,41131300
9/16/2002,89.89,28170800
9/17/2002,87.83,47770000
9/18/2002,86.95,54847500
9/19/2002,84.7,48524600
9/20/2002,84.35,46326200
9/23/2002,83.66,46913200
9/24/2002,82.31,69598900
9/25/2002,84.35,59297300
9/26/2002,85.73,53672400
9/27/2002,82.75,64778400
9/30/2002,81.79,73096500
10/1/2002,85.72,67278500
10/2/2002,83.15,56850900
10/3/2002,82.31,55568900
10/4/2002,80.8,68725100
10/7/2002,79.13,53217600
10/8/2002,80.37,79535200
10/9/2002,78.1,79918900
10/10/2002,80.63,76784800
10/11/2002,84.16,82323000
10/14/2002,84.63,40644700
10/15/2002,88.7,82460100
10/16/2002,86.55,63588600
10/17/2002,88.27,68608100
10/18/2002,88.64,47563900
10/21/2002,90.17,45977500
10/22/2002,89.52,41217400
10/23/2002,90.2,55128700
10/24/2002,88.36,55306000
10/25/2002,90.2,43735200
10/28/2002,89.61,39428500
10/29/2002,88.57,59535800
10/30/2002,89.43,41707400
10/31/2002,88.52,41623000
11/1/2002,90.27,51905100
11/4/2002,91.13,49084800
11/5/2002,91.85,37291500
11/6/2002,93.04,65347600
11/7/2002,90.76,51582000
11/8/2002,89.65,37911900
11/11/2002,88.26,33598500
11/12/2002,88.96,37775500
11/13/2002,89.05,63916100
11/14/2002,90.73,31988900
11/15/2002,91.4,39166800
11/18/2002,90.48,29019400
11/19/2002,90.36,32814800
11/20/2002,92.37,36823200
11/21/2002,94.09,55172500
11/22/2002,93.42,32515000
11/25/2002,93.48,34060600
11/26/2002,91.7,42290400
11/27/2002,94.28,37775000
11/29/2002,93.98,19385700
12/2/2002,94.13,49798600
12/3/2002,92.87,34434200
